# -----------------------------------------------------------------------------
# CARTA — El Rincon del Quijote
# -----------------------------------------------------------------------------
# ESTA ES LA CARTA REAL DEL BAR, la que paso el cliente el 2026-09-04. Sustituye
# por completo a las filas de ejemplo que habia aqui antes.
#
# DOS COSAS QUE FALTAN Y QUE TIENE QUE DAR EL CLIENTE:
#
#   1. LOS PRECIOS. La lista llego sin ellos, asi que las dos columnas de precio
#      van vacias. Un plato sin precio SE GUARDA pero NO SALE EN LA CARTA
#      PUBLICA: lo impide la regla de acceso de la coleccion, no solo la
#      pantalla (DECISIONES.md, D-76). En el panel se ven con un «Sin precio»,
#      igual que los productos «sin configurar» del almacen.
#      Para ponerlos: se rellenan aqui las columnas y se vuelve a importar (el
#      importador actualiza, no duplica), o se teclean desde el panel.
#
#   2. CONFIRMAR LOS ALERGENOS. Los de este fichero son los que estimo el
#      cliente, y venian marcados como «estimado» en su propia lista. La
#      informacion de alergenos es OBLIGATORIA POR LEY (Reglamento UE 1169/2011)
#      y de ella responde el bar: hay que repasarlos plato por plato antes de
#      publicar la carta.
#
# Columnas:
#   categoria        Nombre de la categoria. Se crea si no existe.
#   nombre           Nombre del plato. Se identifica por nombre Y categoria, asi
#                    que dos categorias pueden tener un plato que se llame igual
#                    («Casera», «Pincho de tortilla»).
#   descripcion      Texto corto. Puede ir vacio.
#   precio_barra     Precio en barra, en euros. Coma o punto decimal, da igual.
#                    VACIO = todavia no tiene precio y no sale en la carta.
#   precio_terraza   Precio en terraza y salon (las dos zonas comparten precio;
#                    en la carta la columna se rotula "Terraza / Salon").
#                    SI SE DEJA VACIO se muestra un unico
#                    precio en la carta, no se calcula ningun recargo.
#   alergenos        Separados por |. Los 14 oficiales de la UE, en minusculas:
#                    gluten, crustaceos, huevos, pescado, cacahuetes, soja,
#                    lacteos, frutos_cascara, apio, mostaza, sesamo, sulfitos,
#                    altramuces, moluscos
#
# Se importa asi (es idempotente: se puede repetir):
#   docker exec quijote-pocketbase pocketbase importar-carta seed/carta.csv --dir=/pb/pb_data
#
# Las lineas que empiezan por # se ignoran.
# -----------------------------------------------------------------------------
categoria,nombre,descripcion,precio_barra,precio_terraza,alergenos
Cafés e infusiones,Café solo,Café espresso tradicional,,,
Cafés e infusiones,Café para llevar,Café solo servido en vaso para llevar,,,
Cafés e infusiones,Colacao,Chocolate a la taza con leche,,,lacteos
Cafés e infusiones,Colacao tostada,Colacao acompañado de tostada,,,lacteos|gluten
Cafés e infusiones,Bebida con tortilla,Café o colacao acompañado de tortilla de patata,,,lacteos|huevos
Cafés e infusiones,Bebida con tostada,Café o colacao acompañado de tostada,,,lacteos|gluten
Cafés e infusiones,Suplemento colacao,Suplemento de colacao añadido a otro producto,,,lacteos
Cafés e infusiones,Café con tortilla,Café con leche o solo con tortilla de patata,,,lacteos|huevos
Cafés e infusiones,Café con tortilla especial,Variante especial del café con tortilla,,,lacteos|huevos
Cafés e infusiones,Desayuno mixto,Combinado de café/bebida y tostada mixta,,,gluten|lacteos
Cafés e infusiones,Café con licor,Café solo con licor (tipo carajillo),,,sulfitos
Cafés e infusiones,Café bombón,Café espresso con leche condensada,,,lacteos
Cafés e infusiones,Café cortado,Espresso con un toque de leche,,,lacteos
Cafés e infusiones,Café americano,Café largo estilo americano,,,
Cafés e infusiones,Café con leche,Espresso con leche,,,lacteos
Cafés e infusiones,Liyo,Café con licor (carajillo),,,sulfitos
Cafés e infusiones,Poleo menta,Infusión de poleo menta,,,
Cafés e infusiones,Manzanilla,Infusión de manzanilla,,,
Cafés e infusiones,Té rojo,Infusión de té rojo,,,
Cafés e infusiones,Rooibos,Infusión de rooibos,,,
Cafés e infusiones,Té,Infusión de té,,,
Cafés e infusiones,Tila,Infusión de tila,,,
Cafés e infusiones,Té verde,Infusión de té verde,,,
Cafés e infusiones,Café moyet especial,Variante especial de café moyet,,,lacteos
Cafés e infusiones,Descafeinado,Café descafeinado,,,
Cafés e infusiones,Café mollete,Café acompañado de mollete,,,gluten|lacteos
Cafés e infusiones,Desayuno con tomate natural,Tostada con tomate natural,,,gluten
Cafés e infusiones,Merienda (croissant),Croissant de merienda,,,gluten|huevos|lacteos
Cafés e infusiones,Extra de bollo,Bollo extra de acompañamiento,,,gluten|huevos|lacteos
